id_,sail_ship_id,deaparture_harbour,arrival_harbour,sail_freight_id,container_loaded,payment_currency
25278,77368,18561,18632,1995,113,OMR
39701,77490,18671,18543,1372,206,IMP
44596,79842,18549,18594,1592,222,JOD
26365,78618,18691,18613,1427,190,LAK
39955,79511,18638,18511,1530,141,MGA
38308,78573,18640,18608,1386,204,ETB
28921,78417,18554,18604,2030,48,KYD
42654,79319,18588,18605,1708,143,PEN
41096,78770,18627,18662,1400,146,TVD
33760,78062,18548,18691,1718,167,BHD
35990,79409,18661,18665,1274,232,ZWD
33805,78095,18624,18657,1991,245,MRO
40911,77675,18569,18672,1274,235,IDR
40689,78173,18503,18538,2008,69,INR
35180,79058,18683,18590,1530,69,SAR
29298,78550,18669,18567,1427,163,SHP
32263,78115,18691,18695,1938,87,KES
41773,79922,18567,18680,1408,144,SGD
44128,77386,18654,18656,1345,150,MDL
41123,79923,18594,18552,1845,138,CNY
41866,77934,18639,18694,1708,223,UGX
31808,79565,18620,18661,1777,101,HKD
40750,79102,18640,18605,1940,45,BHD
39914,78173,18574,18667,1807,213,PKR
41755,78388,18631,18623,1940,178,MKD
27013,77695,18675,18604,1955,152,TOP
30535,77255,18541,18575,1372,212,JEP
31502,78742,18675,18565,1811,55,KYD
34177,79017,18511,18680,1800,178,RSD
25397,79870,18590,18595,1991,238,JMD
28091,78861,18530,18627,1910,89,GYD
30420,77619,18612,18565,1810,184,INR
26784,77143,18665,18590,1756,210,XOF
39117,77187,18614,18687,1408,223,TZS
37913,77675,18675,18673,1800,183,NIS
33852,77920,18654,18661,1368,51,PHP
42715,78742,18582,18672,1938,53,VEF
35071,79093,18591,18500,1843,102,CNY
34977,79989,18624,18536,1617,241,RSD
31417,79224,18632,18612,1938,171,CNY
27982,78076,18693,18545,1843,103,RWF
31753,77825,18553,18676,1807,83,USD
43060,77004,18524,18605,2008,53,AED
33380,79642,18643,18686,2008,142,HTG
35244,77143,18536,18539,1456,202,HTG
40581,78045,18504,18500,1780,203,STD
36930,77255,18542,18584,1901,152,KZT
31512,77547,18627,18555,1901,175,CNY
43446,78076,18672,18594,2030,168,BND
40361,79058,18664,18671,1627,249,HKD
35076,77920,18542,18606,1191,42,AFN
39274,79783,18686,18579,1800,117,NPR
29973,77111,18555,18650,1800,232,IDR
42046,78097,18650,18538,1895,232,KZT
33816,78308,18681,18540,1991,237,TMT
38478,77302,18539,18576,1940,50,AWG
43562,79926,18584,18662,1756,155,DOP
43605,77294,18537,18698,1883,73,BIF
30457,78150,18612,18591,1617,145,LKR
40589,79214,18620,18549,1883,195,SCR
38991,78170,18603,18590,1810,194,GNF
26845,78120,18643,18513,1400,236,BAM
28574,77252,18627,18547,1456,160,BGN
28654,79138,18524,18653,1627,76,MRO
31284,79093,18675,18698,1419,109,MDL
25204,77565,18676,18661,1901,174,HUF
38383,79820,18543,18552,1694,116,TZS
31770,79608,18539,18698,1702,249,RWF
37444,79803,18693,18687,1807,116,TWD
25979,77879,18530,18675,1592,238,LYD
26690,77079,18606,18615,1372,248,PYG
28402,77187,18554,18653,1530,56,IMP
38655,79540,18549,18538,1427,137,UGX
32060,79695,18695,18594,1843,99,UGX
37853,79043,18591,18650,1408,209,MKD
43263,79901,18511,18653,1955,129,MOP
39094,79926,18656,18646,1617,224,ILS
39736,79093,18680,18583,1995,34,WST
37682,78786,18593,18594,1991,180,BZD
40258,79327,18576,18522,1345,42,SEK
30780,79043,18620,18571,1883,154,AWG
27401,79481,18538,18545,1895,46,NPR
43310,78690,18522,18691,1191,146,BDT
41762,78297,18531,18579,2018,154,SYP
34432,77448,18639,18652,1380,150,MGA
25088,78209,18605,18588,1530,163,GEL
26072,78071,18583,18645,1895,155,YER
35708,78760,18537,18605,2008,220,YER
42903,78960,18576,18603,1777,57,MNT
29481,79417,18593,18691,1811,129,LYD
39636,78918,18595,18603,1940,104,MGA
26229,78334,18631,18574,1883,164,SHP
36169,77685,18563,18589,1408,214,MNT
33043,79965,18528,18651,1372,244,JPY
30314,77786,18536,18661,1756,232,MKD
36672,77311,18553,18531,1995,168,RSD
37034,78943,18668,18676,2018,185,ILS
40138,78350,18540,18604,1456,192,BHD
34323,79102,18538,18559,1910,126,FKP
35641,77031,18585,18555,1386,175,BYR
33286,77565,18645,18686,1718,99,RUB
35349,79285,18670,18510,1517,162,BAM
34258,77252,18559,18529,1645,122,BDT
42817,77004,18653,18640,1883,154,HRK
28886,79183,18553,18612,1191,148,PLN
31442,77703,18671,18522,1955,215,AFN
44468,79716,18592,18614,1718,224,MRO
34760,77411,18553,18521,1386,87,GGP
28115,77395,18541,18664,1895,187,WST
32657,78417,18574,18588,1917,79,TZS
43784,78696,18530,18501,2018,161,LTL
40781,79665,18556,18672,1901,34,JPY
38505,78417,18698,18676,1940,157,MWK
43128,79989,18700,18653,1718,186,OMR
33352,77123,18645,18612,1458,214,TJS
29110,79187,18589,18661,1800,66,JPY
26542,79020,18681,18579,1458,151,BND
40414,77969,18509,18581,1596,164,MDL
36371,77495,18592,18604,2030,249,NPR
37700,79319,18548,18638,1955,229,JOD
31216,78639,18591,18589,1901,227,AZN
44489,77004,18551,18538,1191,48,SVC
25798,79027,18522,18503,1708,235,TRY
41624,80025,18589,18652,1596,104,NPR
36149,77482,18645,18571,1777,142,ZMW
34152,78684,18521,18503,1777,161,BIF
26236,77353,18540,18694,1995,159,LSL
39186,77920,18543,18683,1627,37,PLN
39588,78386,18579,18559,1744,95,BAM
44775,79313,18538,18593,1810,83,BHD
35866,77094,18680,18673,1811,161,ZAR
33692,78154,18582,18681,1883,205,HNL
34818,79209,18606,18511,1372,202,EUR
32710,78662,18673,18590,1816,101,INR
36974,79319,18680,18588,1386,241,KZT
39981,77383,18683,18658,1408,61,NAD
30961,79952,18522,18700,1419,193,BOB
26130,77825,18531,18673,1400,220,MXN
43399,77828,18545,18539,1191,140,CAD
35632,78653,18700,18624,1810,48,KYD
44034,77620,18654,18500,1718,249,ERN
28890,79896,18528,18538,1694,170,MMK
35140,77691,18521,18569,1780,121,RWF
30018,79290,18664,18563,1810,249,FJD
37117,77069,18668,18676,1756,239,BZD
42262,79693,18602,18563,1368,162,LSL
34753,78468,18538,18531,1702,192,SZL
43766,78394,18613,18681,1427,243,HNL
34991,79891,18561,18651,1845,207,XOF
37166,77620,18681,18669,1780,107,IMP
29177,78943,18504,18551,1955,57,BOB
31890,77107,18662,18639,1328,214,TOP
32222,77193,18688,18623,1756,64,PEN
42997,78513,18686,18511,1328,226,COP
39963,79896,18504,18555,1883,140,KES
41418,80025,18585,18629,1458,230,CVE
25200,79058,18593,18614,1883,53,SPL
29275,78630,18683,18673,1627,226,SDG
29853,77487,18700,18524,1596,181,SDG
29868,79138,18528,18667,1780,172,DZD
38892,78516,18645,18624,1617,123,PAB
28968,78463,18665,18530,1345,130,BRL
33815,79735,18594,18554,1694,148,IRR
43644,78150,18548,18552,1718,198,BAM
27751,78998,18629,18594,1400,102,BAM
32798,79892,18672,18656,1408,212,VND
32289,78292,18591,18641,1807,202,DKK
44793,78770,18563,18608,1408,68,DJF
37143,78696,18501,18661,1645,90,MOP
32519,79716,18693,18579,1955,168,MUR
35384,78876,18528,18639,1938,129,GMD
38848,79350,18539,18569,1756,203,FJD
42861,79858,18628,18623,1991,186,MZN
29616,78690,18673,18653,1419,96,TTD
28480,79209,18643,18565,1901,147,BOB
43257,78408,18582,18621,1372,178,XAF
39824,78646,18589,18559,1917,161,USD
44990,77986,18589,18519,2018,48,HNL
37967,79058,18571,18585,1427,154,GBP
33149,79425,18572,18564,1419,189,GNF
42387,78770,18645,18598,1910,238,TTD
30513,78287,18582,18614,1645,114,CHF
28440,78026,18529,18672,1955,30,NIS
41598,78417,18591,18657,1901,244,IRR
38582,78742,18658,18700,1368,66,KGS
44344,79565,18565,18654,1368,122,MVR
37208,79676,18503,18509,1702,160,SDG
42355,78690,18643,18614,1845,37,QAR
29589,79644,18531,18516,1274,50,TND
25058,77113,18584,18543,1400,225,VEF
40274,79151,18571,18627,1955,119,GBP
39121,79635,18584,18555,1372,78,STD
27814,79010,18613,18654,1458,222,TTD
26641,77454,18669,18604,1780,87,FJD
37059,80025,18559,18539,1617,213,KPW
32766,78097,18576,18575,1702,109,AMD
33699,79198,18571,18628,1845,248,KRW
29420,77482,18588,18684,2030,198,KGS
35419,77728,18627,18588,1380,49,CHF
38611,77828,18560,18530,1645,196,MRO
31723,79961,18671,18529,1718,217,KRW
42263,79891,18602,18639,1530,45,JMD
25698,79327,18683,18603,1694,129,SEK
33210,79783,18583,18598,1380,199,TOP
43587,78685,18565,18603,1800,121,UAH
34699,79642,18561,18681,1883,191,BIF
38211,78639,18608,18693,1895,81,NIS
40371,77889,18667,18687,1702,64,CLP
25389,77044,18620,18688,1645,103,AED
41189,79621,18686,18501,1910,133,USD
40776,78190,18537,18671,1843,147,KMF
30581,79010,18612,18582,1955,71,BAM
43451,78213,18511,18584,1530,32,AMD
42677,79058,18625,18554,2008,48,BWP
39898,77324,18675,18603,2018,205,CLP
25244,78230,18556,18501,1909,67,USD
35607,78658,18598,18694,1702,44,OMR
44271,78642,18509,18691,1991,120,BBD
38814,79854,18664,18594,1617,93,NAD
38315,79097,18668,18536,2018,182,NPR
43379,79183,18625,18688,1807,140,GMD
27621,77548,18530,18590,1400,208,UYU
31053,77252,18555,18631,1458,143,IQD
30012,77878,18581,18541,1694,127,BAM
25162,79097,18673,18639,1419,101,QAR
33501,78269,18613,18669,2008,112,NGN
42854,79319,18585,18694,1702,101,LBP
30615,79234,18537,18612,1995,92,SGD
26730,79676,18595,18540,2008,203,BGN
32033,78918,18681,18627,1408,92,GIP
35705,78377,18615,18640,1910,108,UZS
34429,78618,18687,18652,1345,206,CZK
34833,78659,18658,18599,2008,76,SCR
33270,79961,18620,18552,1811,141,CAD
35646,79578,18574,18620,1400,104,SRD
37943,79621,18584,18516,2030,176,TVD
27386,77255,18599,18686,2018,57,PHP
29025,78208,18536,18680,1811,144,CUP
34270,77069,18602,18628,1845,174,BDT
33069,78546,18511,18695,1596,50,XDR
42361,78113,18564,18530,1592,231,EGP
31079,78516,18542,18700,1810,113,MGA
35599,79183,18545,18632,1777,78,DZD
42909,79818,18552,18563,1368,162,KWD
25354,79968,18661,18625,1744,104,XOF
43245,79237,18565,18519,1708,60,GYD
28254,79870,18605,18500,1883,157,LAK
40928,77545,18571,18670,1938,159,BND
34318,78062,18643,18620,1780,133,LSL
37780,79695,18680,18538,1718,135,MYR
34717,79873,18529,18588,1368,72,KGS
30097,78227,18524,18579,1780,177,THB
31655,77079,18668,18531,1843,64,QAR
33840,79716,18531,18612,1380,90,GTQ
38519,77044,18560,18670,1408,122,CUC
25618,80025,18632,18584,1517,139,NZD
36094,77668,18561,18656,1380,80,SBD
29299,79198,18562,18629,1938,40,GIP
33238,77957,18530,18645,1345,208,BZD
28110,77139,18598,18628,1995,211,JMD
28914,77111,18584,18598,1800,37,LTL
43441,77567,18504,18503,1807,194,LRD
36313,78516,18662,18683,1780,77,SZL
39575,77764,18623,18665,1345,139,JPY
37892,77395,18584,18612,1816,206,KZT
30515,77786,18614,18638,1274,225,PGK
42820,78267,18585,18555,1645,31,IQD
34204,77490,18602,18594,1274,83,CUC
34693,79653,18641,18608,1744,38,ALL
32363,77825,18564,18683,1191,90,BSD
39610,78738,18501,18667,1901,124,GGP
37346,77934,18562,18653,1617,169,BGN
33639,79209,18623,18624,1592,30,UGX
25789,77490,18695,18513,1800,134,XAF
33601,79222,18531,18661,1530,37,PKR
33583,79896,18571,18667,2008,230,ERN
31221,78659,18593,18645,1456,66,PLN
35466,77302,18571,18595,1694,82,UAH
26715,79653,18641,18541,1909,108,ISK
43955,77695,18670,18539,1777,115,DZD
27765,77960,18548,18653,1408,157,CVE
37231,77139,18529,18638,1328,175,TJS
44377,78861,18627,18513,1895,135,HUF
40001,80025,18684,18628,1458,72,DKK
31968,78292,18694,18662,1909,185,FKP
43973,78794,18639,18654,1909,204,NGN
42713,77668,18569,18603,1744,56,IQD
42022,77695,18614,18548,1708,145,VEF
27118,77044,18565,18602,2008,226,ISK
38775,79803,18615,18572,1995,85,THB
28011,77448,18668,18500,1845,93,KMF
27958,77166,18576,18620,1380,221,GEL
28435,79926,18646,18612,2018,199,FKP
39537,77112,18628,18529,1940,58,SVC
37872,77703,18589,18590,1530,64,RWF
35979,77353,18671,18582,1843,174,TOP
30295,78690,18581,18598,1400,172,GMD
35694,77745,18562,18695,1408,221,SRD
32295,77928,18551,18559,1845,177,LYD
26781,78786,18628,18501,1408,226,STD
27889,78095,18563,18574,1419,50,AED
43319,77931,18522,18631,1777,171,TWD
36327,78408,18540,18571,1816,249,KGS
29607,77863,18529,18695,1811,176,IMP
41626,77728,18664,18510,1645,86,AWG
37430,79177,18608,18653,1386,199,JEP
30202,79237,18639,18594,1694,213,MNT
40389,79425,18561,18640,1592,244,BRL
43409,77620,18539,18661,1810,124,UAH
34051,77955,18693,18583,1419,85,BSD
28876,78499,18537,18646,1810,110,SBD
30751,79861,18671,18700,1811,84,GTQ
33491,77007,18589,18612,1400,220,MDL
30436,78386,18604,18567,1328,221,HRK
26768,78370,18667,18603,1427,220,DJF
29588,77278,18538,18614,1807,120,STD
29168,78120,18681,18521,1627,96,RON
43099,77143,18565,18599,2030,170,AED
33793,77920,18646,18604,2030,105,RUB
31233,77201,18516,18658,1811,128,KZT
38481,78026,18700,18641,1810,188,VND
37518,79806,18521,18639,1910,47,CRC
37554,77004,18671,18574,1843,165,KZT
37365,79858,18700,18560,1909,71,IQD
42277,79989,18602,18531,1940,182,CAD
32327,77522,18582,18688,1694,44,BIF
25061,77844,18583,18615,1718,181,TWD
30366,79644,18584,18585,1645,195,ZAR
28605,78388,18537,18670,1368,172,PEN
28054,79417,18552,18669,1780,231,AMD
42063,77957,18615,18503,1458,147,DJF
36602,79417,18624,18521,1777,43,JEP
44052,79454,18606,18549,1843,126,NIO
34171,79350,18538,18565,1995,32,BTN
34137,77675,18620,18628,1400,248,KHR
30223,79653,18687,18632,1617,179,RUB
31198,77224,18583,18567,1530,43,CAD
36690,79712,18694,18605,1895,173,PHP
42752,79922,18658,18639,1909,199,RSD
29761,79841,18606,18583,1596,156,BYR
43318,77828,18606,18537,1372,102,PEN
40324,78719,18554,18538,1627,37,RUB
34410,78230,18521,18675,1744,195,PGK
27480,78543,18672,18579,1744,43,ALL
42234,77139,18656,18631,1345,135,UYU
44709,78978,18513,18567,1328,228,MNT
42542,77208,18562,18664,1328,68,MGA
26374,79209,18519,18598,1592,238,BDT
26205,79693,18657,18657,1991,227,TWD
43196,78120,18536,18639,1909,123,UGX
34197,78550,18562,18582,1191,220,UZS
31842,77786,18599,18669,1780,214,GBP
34705,78388,18675,18547,1807,249,GGP
32415,78854,18581,18589,1592,127,YER
36554,79237,18565,18656,1408,43,BDT
26437,79198,18669,18700,1368,66,HUF
37339,79027,18662,18541,1718,247,PYG
38035,79635,18643,18646,1380,137,GTQ
44191,79608,18673,18657,1845,38,JMD
40874,77136,18588,18565,1810,240,BYR
34975,78760,18700,18536,1372,217,PAB
26028,78300,18641,18621,1940,155,AWG
29769,77068,18684,18556,1408,170,THB
42076,79870,18581,18556,1955,93,GNF
29922,79177,18628,18516,1991,167,MWK
44556,77352,18684,18604,1811,182,ARS
29098,77668,18698,18529,1780,189,BRL
32819,79177,18675,18645,1910,37,LAK
33060,77548,18695,18504,2018,102,BIF
30783,80025,18516,18700,1910,223,NZD
35483,77960,18667,18676,1274,98,IQD
34741,77604,18542,18538,1777,166,AED
41602,78662,18641,18581,1694,191,GTQ
30231,79222,18625,18604,1910,126,SOS
42257,78097,18603,18565,1702,45,KZT
42934,79278,18543,18603,1627,37,XDR
27193,77166,18560,18620,1883,191,RUB
27633,78218,18503,18511,1800,58,GBP
31815,77111,18543,18668,1708,32,GNF
30827,78548,18565,18531,1368,176,SZL
26657,78653,18500,18513,1456,54,XPF
33303,78972,18658,18583,1645,160,BTN
27957,78267,18638,18686,1456,181,CNY
36513,77139,18541,18537,1191,73,CUC
35257,77322,18509,18572,1816,227,VEF
34574,77448,18612,18681,1991,180,GYD
